  FormatDate	<D> <M> <Y>
  Select	Выбрать
  Build	Построить
  BuildFlagship	Построить флагман для
  Count	Количество
  ItemComplete	Завершено
  Price	Цена
  Sum	Сумма
  Atm	Атмосфера
  Tmp	Температура
  Tec	Тектоника
  CntDestroy	Уничтоженных
  Mass	Масса
  Fuel	Топливо
  Armour	Броня
  ShieldReduce	Рассеивание
  MaxHP	Структура
  MaxShield	Щит
  ValShield	Напряжение
  IncShield	Регенерация
  ValBarrier	Барьер
  Damage	Повреждения
  Repair	Ремонт
  Power	Ударная сила
  PowerCannon	Пушка
  PowerLaser	Лазер
  PowerMissile	Ракеты
  PowerTransiver	Трансивер
  Accuracy	Точность
  Cost	Стоимость
  Planet	Малая планета
  PlanetLarge	Обитаемая планета
  Sun	Звезда
  Pulsar	Пульсар
  PulsarOn	Активный
  PulsarOff	Пассивный
  PulsarTimeOn	Активируется через
  PulsarTimeOff	Деактивируется через
  Gigant	Газовый гигант
  PlanetTini	Карликовая планета
  PlanetRich	Радужный мир
  Radiation	Радиация
  RadiationLow	Слабая радиация
  ThreatSun	Радиационная угроза
  ThreatGigant	Астероидная угроза
  ThreatTini	Астероидная угроза
  Wormhole	Червоточина
  WormholeRoam	Блуждающая червоточина
  WormholePrepare	Стабилизируется
  WormholeOpen	Стабилизирована
  WormholeClose	Дестабилизирована
  WormholeOpenTime	Время до открытия
  WormholeCloseTime	Время до закрытия
  Module	Модули
  Res	Модули
  ResInc	Объем производства
  BuildItem	Специализация
  Level	Инфраструктура
  PlanetRefuel	Пополнение топлива
  PlanetNoCapture	(Захват невозможен)
  PlanetNoMove	(Перелет невозможен)
  Cancel	Отменить
  Max	MAX
  Homeworld	Столица
  Citadel	Цитадель
  Empire	Империя
  Enclave	Анклав
  Colony	Колония
  Base	База
  District	Сфера
  Outpost	Форпост
  DistrictPlanetCnt	Планет в вашей сфере
  MaxEnclaveTarget	Цель	 Захват <Val>% планет.
  MaxEnclaveTime	До окончания
  OccupyHomeworldTime	Прикрытие
  NewHomeworld	Столица новой империи
  Phantom	Фантом
  MiniMapLarge	Большая карта
  MiniMapSmall	Малая карта
  MiniMapPlanet	Планеты
  MiniMapShowPlanet	Отобразить планеты
  MiniMapHidePlanet	Скрыть планеты
  MiniMapShip	Корабли
  MiniMapShowShip	Отобразить корабли
  MiniMapHideShip	Скрыть корабли
  MiniMapScaleDefault	Масштаб по умолчанию
  MiniMapRes	Ресурсы
  MiniMapAllShip	Все корабли
  MiniMapPlayerShip	Корабли игрока
  FormMiniMapWormholes	Червоточины
  FormMiniMapGravitor	Гравиторы
  FormMiniMapColony	Колонии
  FormMiniMapMine	Мины
  FormMiniMapNoCapture	Нельзя захватывать
  Owner	Владелец
  Load	Загрузка
  Neutral	Нейтральная
  User	Игрок
  RewardExp	Награда за захват
  Exp	опыта
  UserPlanetCnt	Всего планет
  EmpirePlanetCnt	Планет в империи
  EnclavePlanetCnt	Планет в анклаве
  ColonyPlanetCnt	Планет в колониях
  GravitorSciCnt	Научных гравиторов
  StatMineCnt	Заминированных слотов
  UserShipCnt	Всего кораблей
  UserShipMassDefMax	Предельная масса обороны
  UserShipMassDef	Масса обороны
  UserShipMassAtkMax	Предельная масса нападения
  UserShipMassAtk	Масса нападения
  UserRating	Рейтинг развития
  CombatRating	Боевой рейтинг
  UserScore	Боевая слава
  UserRest	Очки отдыха
  UserExp	Очки опыта
  UserKlingDestroyCnt	Клисан уничтожено
  Stat	Статистика"  
  StatUpdateTime	Расчет и обновление статистики происходит раз в минуту.
  MsgNewEmpire	<p align='center'><font color='#ff0000'>ВНИМАНИЕ!</font> Старая империя будет уничтожена. Вы действительно хотите основать новую империю?</p>
  ButFind	Найти
  ButClose	Закрыть
  ButCancel	Отменить
  ButChange	Обменять
  ButSave	Сохранить
  RandomFon	Случайный
  Split	Распределить
  ButRes	Ресурсы
  ButTech	Технологии
  ButGive	Снарядить
  ButDestroy	Взорвать
  ButDestroyPlanet	Взорвать планетоид
  QueryDestroyPlanet	[justify]Вы можете взорвать планетоид в своем созвездии в том случае, если планеты не образуют отдельной группы. Невозможно взорвать пульсар и червоточину. Вместе с уничтожением планетоида, будут уничтожены все постройки, корабли, товары.[br]Стоимость операции <Cost> cr. и <QC> кварковых ядер размещённых на орбите в трюме транспорта. [br][br]Вы уверены, что хотите взорвать планетоид?[/justify]
  ButExtract	Собирать	 Водород
  ButPolar	Поляризация щита (E)
  ButPolar2	Поляризация щита
  ButTransiver	Трансиверный лазер (E)
  ButSiege	Осадный режим (E)
  ButNanits	Наниты (E)
  ButNoToBattle	Походный режим (Q)
  ButAIRoute	Следовать маршруту (C)" 
  ButAIAttack	Атаковать (Z)
  ButLink	Цель (X)
  AutoBuild	Автоматическая постройка
  ButBomb	Аннигиляция
