ChangeCnt	Изменить количество
CotlSet	Параметры созвездия
MapEdit	Редактировать карту
MapSave	Сохранить карту
PowerMul	Сила кораблей (%)
ManufMul	Скорость производства (*)
LootMul	Лут (%)
LootForPlayerMul	Лут игрока (%)
MapUnload	Выгрузить карту
MapUnloadQuery	Вы действительно хотите выгрузить карту?
MapDelete	Удалить карту
MapDeleteQuery	Для удаления карты введите слово 'DELETE'
MapChangeOptions	Изменить настройки карты
MapChangeOptionsEx	Изменить настройки карты 2
MapChangeCode	Код
MapChangeConsumption	Потребление
MapChangeViewStat	Статистика
MapChangeOpsEnterShip	Корабли игрока могут войти в созвездие
MapChangeOpsEnterTransport	Транспорты игрока могут войти в созвездие
MapChangeOpsEnterFlagship	Флагманы игрока могут войти в созвездие
MapChangeOpsLeaveShip	Корабли игрока могут покинуть созвездие
MapChangeOpsLeaveTransport	Транспорты игрока могут покинуть созвездие
MapChangeOpsLeaveFlagship	Флагманы игрока могут покинуть созвездие
MapChangeOpsBuildShip	Строительство кораблей
MapChangeOpsBuildFlagship	Строительство флагманов
MapChangeOpsBuildWarBase	Строительство военных баз
MapChangeOpsBuildSciBase	Строительство научных станций
MapChangeOpsBuildShipyard	Строительство верфей
MapChangeOpsRelGloablOff	Договора не работают внутри созвездия
MapChangeOpsItemToHyperspace	Вывоз товаров из созвездия
MapChangeOpsBuilding	Строительство зданий
MapChangeOpsViewAll	Просмотр для всех
MapChangeOpsJumpRadius	Дальность перелета
MapChangeOpsModuleProduction	Объем производства товаров (*)
MapChangeOpsCostBuildLvl	Стоимость постройки инфраструктуры (%)
MapChangeOpsSpeedCapture	Время захвата планет 
MapChangeOpsSpeedBuild	Время постройки кораблей (%)
MapChangeOpsRestartCooldown	Перезагрузка созвездия (в минутах)
MapChangeOpsProtectCooldown	Время защиты (в минутах)
MapChangeOpsStartTime	Запуск (созвездия, БЧТ) (в минутах)
MapChangeOpsPulsarActive	Активность (пульсаров, БЧТ) (в минутах) 
MapChangeOpsPulsarPassive	Пассивность (пульсаров, БЧТ) (в минутах) 
MapChangeOpsPulsarEnterActive	Войти в созвездие можно только когда пульсар активен
MapChangeOpsNeutralBuild	Нейтральные корабли
MapChangeOpsKlingBuild	Клисаны
MapChangeOpsWormholeLong	Долгие червоточины
MapChangeOpsWormholeFast	Быстрые червоточины
MapChangeOpsWormholeRoam	Блуждающие червоточины
MapChangeOpsEnterSingleInvader	Входить может только один штурмовик 
MapChangeOpsWin	Цель 
MapChangeOpsWinOccupyCitadel	Оккупация 
MapChangeOpsWinMaxPlanet	Планеты 
MapChangeOpsWinCtrlCitadel	Контроль цитаделей 
MapChangeOpsWinMaxEnclave	Доминирующий анклав
MapChangeOpsRewardExp	Опыт 
MapChangeOpsWinScore	Очков для победы 
MapChangeOpsMaxRating	Максимальный рейтинг 
MapChangeOpsPriceEnterType	Цена входа 
MapChangeOpsPriceCaptureType	Цена захвата 
MapChangeOpsPriceCaptureEgm	Цена захвата в egm 
MapChangeOpsEnclave	Анклав
MapChangeOpsPlanetShield	Планетарный щит
MapChangeOpsPlayerExp	Опыт за корабли игроков
MapChangeOpsTeamOwner	Команда владельцев
MapChangeOpsTeamEnemy	Команда врагов
MapChangeSize	Изменить размер карты
MapChangeRandomizeNeutral	Рандомезировать нейтралов
MapChangeRandomizeNeutralQuery	На основании расы планеты спавнятся нейтральные корабли соответствующей расы. Вы уверены, что хотите случайно назначить расу каждой планете? Все нейтральные корабли будут удалены.
MapChangeRandomizeElement	Рандомезировать специализацию
MapChangeRandomizeElementQuery	Вы уверены, что хотите случайно назначить специализацию каждой захватываемой планете?
MapChangeSizeLeft	Слева
MapChangeSizeRight	Справа
MapChangeSizeTop	Сверху
MapChangeSizeBottom	Снизу
Add	Добавить 
ButAdd	ДОБАВИТЬ
AddPlanet	Создать планетоид
EditPlanet	Изменить планетоид
DeletePlanet	Удалить планетоид
DeletePlanetQuery	Вы действительно хотите удалить планетоид?
EditPlanetName	Изменить описание планетоида
EditPlanetSpawn	Спавн звеньев
SpawnSave	Изменить
SpawnPageBase	Общие
SpawnPageGroup	Звенья
SpawnPageEq	Снаряжение
SpawnPageFind	Поиск
SpawnPageDelete	Удаление
SpawnEmpty	Пропуск
SpawnNoToBattle	Пхд
SpawnCnt	Кол-во
SpawnAtk	Атака
SpawnRoute	След
SpawnKey	Ключ
SpawnKeyAnd	Маска ключа
SpawnKeyEq	Проверка ключа
SpawnFindRadius	Радиус
SpawnDeleteOn	Удалять при повреждении
SpawnDeleteNoFlagship	Удалять при отсутствии флагмана или разрушителя
SpawnDeleteProc	Повреждения (%)
SpawnDeleteGroup	Кол-во звеньев
SpawnPeriod	Период (в секундах)
SpawnPeriodIfEnemy	Период если враг
SpawnPeriodRnd	Разброс (в секундах)
